C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/12/2017,03:00:00,REGULAR,6403389,2166319
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/11/2017,23:00:00,REGULAR,6403352,2166312
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/11/2017,19:00:00,REGULAR,6403178,2166292
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/11/2017,15:00:00,REGULAR,6402857,2166230
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/11/2017,11:00:00,REGULAR,6402717,2166175
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/11/2017,07:00:00,REGULAR,6402645,2166112
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/11/2017,03:00:00,REGULAR,6402636,2166100
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/10/2017,23:00:00,REGULAR,6402607,2166095
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/10/2017,19:00:00,REGULAR,6402345,2166050
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/10/2017,15:00:00,REGULAR,6401549,2165970
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/10/2017,11:00:00,REGULAR,6401265,2165876
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/10/2017,07:00:00,REGULAR,6401130,2165559
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/10/2017,03:00:00,REGULAR,6401118,2165526
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,23:00:00,REGULAR,6401109,2165525
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,19:00:00,REGULAR,6400823,2165480
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,15:00:00,REGULAR,6400055,2165396
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,11:00:00,REGULAR,6399843,2165323
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,07:25:29,REGULAR,6399700,2165018
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,07:00:00,REGULAR,6399690,2164995
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/09/2017,03:00:00,REGULAR,6399681,2164956
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/08/2017,23:00:00,REGULAR,6399680,2164956
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/08/2017,19:00:00,REGULAR,6399392,2164917
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/08/2017,15:00:00,REGULAR,6398607,2164841
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/08/2017,11:00:00,REGULAR,6398366,2164756
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/08/2017,07:00:00,REGULAR,6398221,2164430
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/08/2017,03:00:00,REGULAR,6398211,2164366
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2017,23:00:00,REGULAR,6398199,2164364
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2017,19:00:00,REGULAR,6397978,2164323
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2017,15:00:00,REGULAR,6397251,2164233
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2017,11:00:00,REGULAR,6397022,2164149
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2017,07:00:00,REGULAR,6396889,2163872
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/07/2017,03:00:00,REGULAR,6396872,2163843
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/06/2017,23:00:00,REGULAR,6396872,2163843
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/06/2017,19:00:00,REGULAR,6396617,2163812
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/06/2017,15:00:00,REGULAR,6395815,2163751
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/06/2017,11:00:00,REGULAR,6395568,2163687
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/06/2017,07:00:00,REGULAR,6395425,2163367
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/06/2017,03:00:00,REGULAR,6395408,2163318
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,23:00:00,REGULAR,6395378,2163313
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,19:00:00,REGULAR,6395232,2163293
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,15:00:00,REGULAR,6394949,2163241
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,11:00:00,REGULAR,6394655,2163165
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,07:00:00,REGULAR,6394577,2163102
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,03:00:00,REGULAR,6394563,2163089
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/05/2017,00:00:00,REGULAR,6394533,2163078
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/04/2017,20:00:00,REGULAR,6394374,2163049
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/04/2017,16:00:00,REGULAR,6394021,2162992
